DC_Identifier_LocalID,permalink
262,https://digital.library.wisc.edu/1711.dl/46W45CTFQP5JS9C
263,https://digital.library.wisc.edu/1711.dl/ZIAWRCECQPJQT85
264,https://digital.library.wisc.edu/1711.dl/PGSAVFZKP5XPF8Z
265,https://digital.library.wisc.edu/1711.dl/WN7BH7QIJS6RC87
266,https://digital.library.wisc.edu/1711.dl/4MZES4DLDKC2D8L
267,https://digital.library.wisc.edu/1711.dl/GXCIFJQTUTX4C8M
268,https://digital.library.wisc.edu/1711.dl/DOC5ZDXDSNV2Z8N
269,https://digital.library.wisc.edu/1711.dl/X6ADQF66YIMXD85
270,https://digital.library.wisc.edu/1711.dl/C5NZPJ6SFAFNV83
271,https://digital.library.wisc.edu/1711.dl/AWMBRXCRTALBK8D
272,https://digital.library.wisc.edu/1711.dl/VXGVRJTXYHXD39C
273,https://digital.library.wisc.edu/1711.dl/LD26N6V335ECC8H
274,https://digital.library.wisc.edu/1711.dl/ZHOIPTQJVHZJ58Z
275,https://digital.library.wisc.edu/1711.dl/CG5I2K7SBRTIM85
276,https://digital.library.wisc.edu/1711.dl/VNUOFGN7C75ZD9A
277,https://digital.library.wisc.edu/1711.dl/H3IRGHJQSHIJB8G
278,https://digital.library.wisc.edu/1711.dl/OLUDHIFWB6GJQ8U
279,https://digital.library.wisc.edu/1711.dl/DJUH67OK34PJB82
280,https://digital.library.wisc.edu/1711.dl/7NXT37JX2XEV48H
281,https://digital.library.wisc.edu/1711.dl/MBG2EIEY5ABXR8J
282,https://digital.library.wisc.edu/1711.dl/3LRRTA362SAT38U
283,https://digital.library.wisc.edu/1711.dl/4AD4ZRX63AS3F8Q
284,https://digital.library.wisc.edu/1711.dl/YHRBPL74TSJQA8W
285,https://digital.library.wisc.edu/1711.dl/QUKM7OGFQFRAL8R
286,https://digital.library.wisc.edu/1711.dl/5EEDFNQGVDIFK8H
287,https://digital.library.wisc.edu/1711.dl/V2NKJZSAI6BDE8T
288,https://digital.library.wisc.edu/1711.dl/4TYVXRNJ6ZEBE8J
289,https://digital.library.wisc.edu/1711.dl/KES7DEM7ORHO68S
290,https://digital.library.wisc.edu/1711.dl/KO5E6OUADCNKC8A
291,https://digital.library.wisc.edu/1711.dl/UI5OPJCUOUTYT9D
292,https://digital.library.wisc.edu/1711.dl/GRQJH4COTYKL28B
293,https://digital.library.wisc.edu/1711.dl/POVDQTGDKQBA384
294,https://digital.library.wisc.edu/1711.dl/ILA7UOZ5K62XK8O
295,https://digital.library.wisc.edu/1711.dl/ELFJKXSMEOLOY8G
